Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName,CreatedOn,Hour of the day,Month
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,2018-01-10 11:36:25.887,11,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,2018-11-04 19:32:19.297,19,11
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,UTTAR PRADESH,BAGHPAT,CHHAPRAULI,2018-07-24 13:21:42.030,13,7
AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Nutrient Management,TELANGANA,WARANGAL,REGONDA,2018-02-14 08:37:44.047,8,2
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,NALGONDA,ATMAKUR(M),2018-02-03 17:58:02.770,17,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,KESHORAIPATAN,2018-08-10 08:19:54.757,8,8
HORTICULTURE,Fruits,Pomegranate,	Plant Protection	,RAJASTHAN,JALOR,JALORE,2018-04-25 19:09:37.180,19,4
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,WARANGAL,PARVATHAGIRI,2018-02-04 15:58:06.670,15,2
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,HOOGHLY,ARAMBAGH,2018-10-21 12:26:54.533,12,10
AGRICULTURE,Others,Others,Weather,WEST BENGAL,HOOGHLY,DHANIAKHALI,2018-12-11 17:42:39.590,17,12
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,KARIMNAGAR,BHEEMDEVARAPALLI,2018-07-25 21:42:00.797,21,7
AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,GUJARAT,KHEDA,NADIAD,2018-07-19 16:22:49.997,16,7
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,LADPURA,2018-06-13 09:10:52.273,9,6
HORTICULTURE,Fruits,Citrus,	Plant Protection	,TELANGANA,NALGONDA,NIDAMANOOR,2018-06-03 20:09:19.980,20,6
HORTICULTURE,Vegetables,Cucumber,Nutrient Management,UTTAR PRADESH,LALITPUR,TALBEHAT,2018-04-25 11:13:46.090,11,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,NADAUTI,2018-07-29 15:58:27.050,15,7
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,THIMMAPUR (L.M.D.),2018-07-02 16:15:17.373,16,7
ANIMAL HUSBANDRY,Avian,Duck,Integrated Farming,WEST BENGAL,JALPAIGURI,MAYNAGURI,2018-02-08 18:44:19.537,18,2
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,NAGARKURNOOL,2018-07-24 09:01:36.753,9,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,VARANASI,BARAGAON,2018-09-20 11:00:46.740,11,9
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,KUSHI NAGAR,FAZILNAGAR,2018-01-03 16:41:37.173,16,1
