Category,Crop,QueryType,StateName,DistrictName,BlockName,Hour of the day,Month
Fruits,Mango,Nutrient Management,RAJASTHAN,KOTA,SANGOD,20,12
0,0,Weather,RAJASTHAN,KOTA,SANGOD,20,12
Others,Others,Weather,UTTARAKHAND,HARIDWAR,BAHADRABAD,20,12
Cereals,Paddy (Dhan),"	Plant Protection	",WEST BENGAL,HOOGHLY,ARAMBAGH,19,12
Others,Others,Weather,RAJASTHAN,KOTA,SULTANPUR,19,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,ARANG,19,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,19,12
Vegetables,Cucumber,"	Plant Protection	",WEST BENGAL,HOOGHLY,DHANIAKHALI,18,12
Others,Others,Training and Exposure Visits,GUJARAT,ANAND,PETLAD,18,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,ITIKYAL,18,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,NARAYANPET,18,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,18,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,18,12
Cereals,Wheat,Cultural Practices,UTTAR PRADESH,KAUSHAMBI,KAUSHAMBI,18,12
Cereals,Wheat,Fertilizer Use and Availability,GUJARAT,Mehsana,SATLASNA,18,12
Others,Others,Weather,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-I,17,12
Cereals,Wheat,Sowing Time and Weather,CHHATTISGARH,RAIPUR,DHARSIWA,17,12
Vegetables,Potato,"	Plant Protection	",UTTAR PRADESH,KAUSHAMBI,SARSAWAN,17,12
Others,Others,Weather,RAJASTHAN,KOTA,LADPURA,17,12
Others,Others,Weather,RAJASTHAN,KOTA,LADPURA,17,12
Medicinal and Aromatic Plants,Aloe Vera,Government Schemes,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-II,17,12
Others,Others,Weather,UTTARAKHAND,HARIDWAR,BHAGWANPUR,17,12
Cereals,Wheat,Cultural Practices,GUJARAT,Mehsana,MAHESANA,17,12
Cereals,Wheat,Cultural Practices,GUJARAT,Mehsana,MAHESANA,17,12
Cereals,Paddy (Dhan),Nutrient Management,TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,16,12
Vegetables,Capsicum,"	Plant Protection	",WEST BENGAL,HOOGHLY,POLBA-DADPUR,16,12
Vegetables,0,Nutrient Management,WEST BENGAL,HOOGHLY,POLBA-DADPUR,16,12
Fruits,Mango,"	Plant Protection	",WEST BENGAL,HOOGHLY,ARAMBAGH,16,12
Others,Others,Government Schemes,TELANGANA,MAHABOOBNAGAR,NARAYANPET,16,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,NARAYANPET,16,12
Vegetables,Brinjal,"	Plant Protection	",WEST BENGAL,HOOGHLY,ARAMBAGH,16,12
Vegetables,Potato,Seeds and Planting Material,UTTAR PRADESH,KAUSHAMBI,SIRATHU,16,12
Others,Others,Market Information,TELANGANA,MAHABOOBNAGAR,KOLLAPUR,16,12
Cereals,Paddy (Dhan),Cultural Practices,WEST BENGAL,HOOGHLY,ARAMBAGH,16,12
Others,Others,Cultural Practices,GUJARAT,Mehsana,MAHESANA,16,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,NALGONDA,KATTANGOOR,16,12
Cereals,Wheat,Fertilizer Use and Availability,GUJARAT,Mehsana,SATLASNA,16,12
Vegetables,Mushroom,Training and Exposure Visits,UTTARAKHAND,HARIDWAR,BAHADRABAD,16,12
Fruits,Mango,"	Plant Protection	",GUJARAT,Mehsana,VADNAGAR,16,12
Others,0,Weather,UTTARAKHAND,HARIDWAR,LAKSAR,16,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,NALGONDA,VEMULA PALLY,15,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,AIZA,15,12
Oilseeds,Groundnut (pea nut/mung phalli),Seeds,GUJARAT,Mehsana,KHERALU,15,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,PANDUA,15,12
Condiments and Spices,Cumin,"	Plant Protection	",GUJARAT,Mehsana,VISNAGAR,15,12
Others,Others,Market Information,RAJASTHAN,KOTA,SANGOD,15,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,PURSURAH,15,12
Cereals,Wheat,Weed Management,RAJASTHAN,KOTA,SANGOD,15,12
Vegetables,Onion,"	Plant Protection	",GUJARAT,ANAND,TARAPUR,15,12
Oilseeds,"Castor (Rehri, Rendi, Arandi) ",Cultural Practices,GUJARAT,Mehsana,BECHRAJI,15,12
Cereals,Wheat,Nutrient Management,RAJASTHAN,KOTA,SANGOD,15,12
Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,SARSAWAN,14,12
Others,Others,Market Information,GUJARAT,Mehsana,SATLASNA,14,12
0,0,Weather,UTTAR PRADESH,KAUSHAMBI,CHAIL,14,12
Vegetables,Bottle Gourd ,Cultural Practices,CHHATTISGARH,RAIPUR,DHARSIWA,14,12
Others,Others,Government Schemes,UTTARAKHAND,HARIDWAR,BAHADRABAD,14,12
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),"	Plant Protection	",RAJASTHAN,KOTA,0,14,12
Others,Others,Credit,TELANGANA,MAHABOOBNAGAR,UTKOOR,14,12
Condiments and Spices,Cumin,"	Plant Protection	",GUJARAT,Mehsana,SATLASNA,14,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,UTKOOR,14,12
Vegetables,Cucumber,"	Plant Protection	",WEST BENGAL,HOOGHLY,DHANIAKHALI,14,12
Cereals,Wheat,Fertilizer Use and Availability,UTTAR PRADESH,KAUSHAMBI,MANJHANPUR,14,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Animal,Horse,Market Information,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Cereals,Paddy (Dhan),"	Plant Protection	",WEST BENGAL,MALDAH,GAZOLE,13,12
Fruits,Pomegranate,"Water Management, Micro Irrigation",UTTARAKHAND,HARIDWAR,BHAGWANPUR,13,12
Others,Others,"	Plant Protection	",RAJASTHAN,KOTA,KHAIRABAD,13,12
