Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName
4,11,148,47,2,33,793
1,0,0,67,2,33,793
1,18,172,67,5,19,62
1,5,174,1,6,20,47
1,18,172,67,2,33,839
1,18,172,67,0,49,48
1,18,172,67,2,33,793
4,22,75,1,6,20,231
1,18,172,62,1,4,719
1,18,172,67,3,36,349
1,18,172,67,3,36,651
1,18,172,67,0,49,240
1,18,172,67,2,33,793
1,5,241,23,4,29,433
1,5,241,27,1,43,802
1,18,172,67,6,39,330
1,5,241,58,0,49,240
4,22,191,1,4,29,799
1,18,172,67,2,33,512
1,18,172,67,2,33,512
4,15,5,38,6,39,331
1,18,172,67,5,19,110
1,5,241,23,1,43,547
1,5,241,23,1,43,547
1,5,174,47,3,46,711
4,22,48,1,6,20,728
4,22,0,47,6,20,728
4,11,148,1,6,20,47
1,18,172,38,3,36,651
1,18,172,67,3,36,651
4,22,38,1,6,20,47
4,22,191,55,4,29,823
1,18,172,43,3,36,476
1,5,174,23,6,20,47
1,18,172,23,1,43,547
1,5,174,1,3,46,432
1,5,241,27,1,43,802
4,22,159,62,5,19,62
4,11,148,1,1,43,909
1,18,0,67,5,19,516
1,5,174,1,3,46,924
1,18,172,67,3,36,29
1,17,108,54,1,43,460
4,22,191,1,6,20,696
4,6,76,1,1,43,935
1,18,172,43,2,33,793
4,22,191,1,6,20,732
1,5,241,68,2,33,793
4,22,169,1,1,4,864
1,17,53,23,1,43,94
1,5,241,47,2,33,793
1,18,172,67,4,29,799
1,18,172,43,1,43,802
1,0,0,67,4,29,161
4,22,35,23,0,49,240
1,18,172,38,5,19,62
1,20,27,1,2,33,0
1,18,172,21,3,36,905
4,6,76,1,1,43,802
1,18,172,67,3,36,905
4,22,75,1,6,20,231
1,5,241,27,4,29,570
1,18,172,67,0,49,240
2,2,115,43,0,49,240
1,5,174,1,6,39,296
4,11,189,65,5,19,110
1,18,172,1,2,33,443
4,6,76,1,1,43,900
1,5,241,68,1,43,900
4,6,76,1,1,43,547
1,18,172,67,0,49,240
4,22,38,28,0,49,240
1,5,174,67,6,20,307
1,5,174,1,6,20,47
1,5,174,1,3,36,67
1,5,241,2,4,29,799
1,5,174,1,3,46,135
1,5,174,47,0,48,83
4,22,75,23,6,20,231
1,5,174,27,3,46,645
1,5,20,54,1,4,864
1,5,20,54,1,4,864
1,17,108,47,3,36,635
4,22,191,1,1,43,547
4,22,30,1,0,49,240
1,18,172,57,0,49,240
1,5,20,54,1,4,864
1,5,20,54,1,4,864
4,22,30,55,0,49,21
1,5,241,47,5,19,516
1,16,147,1,6,39,330
4,6,71,23,0,48,83
1,18,172,54,3,36,651
4,11,176,47,2,33,348
1,18,172,21,3,36,310
1,5,241,68,6,39,330
1,18,172,15,1,43,929
1,18,172,67,0,49,240
1,18,172,0,0,48,83
1,5,241,67,0,49,240
1,5,241,67,0,49,240
4,11,57,65,1,43,929
1,20,27,1,2,33,793
1,5,174,1,6,39,75
4,22,191,47,6,20,696
1,18,172,67,0,49,240
1,20,139,1,6,39,331
1,18,172,38,1,43,802
1,18,172,67,2,33,443
1,18,172,23,1,4,41
4,22,135,23,0,49,240
1,20,139,1,6,39,331
1,18,172,21,0,49,240
1,18,172,62,0,49,21
1,18,172,67,2,33,443
4,11,63,47,2,33,512
4,22,191,1,6,20,696
4,22,169,49,1,43,900
4,11,123,23,0,48,798
1,5,174,38,3,46,209
1,18,172,38,1,43,929
4,22,191,1,1,43,802
1,5,174,27,3,36,233
1,18,172,38,4,29,606
4,22,191,47,4,29,823
1,20,27,47,2,33,443
1,20,27,1,2,33,443
1,5,174,68,3,46,807
4,22,191,1,6,20,169
1,18,172,67,2,33,839
1,5,174,1,3,36,484
1,17,161,1,6,39,75
1,5,174,1,3,36,484
1,5,174,1,3,46,807
1,18,172,67,0,49,240
4,22,38,55,0,49,240
1,18,172,67,0,49,240
1,5,241,63,4,29,799
1,18,172,67,0,49,240
1,18,172,67,0,49,240
4,22,169,55,0,49,240
4,11,176,23,5,19,516
4,6,76,27,1,43,94
4,22,191,55,6,39,331
1,16,147,1,6,39,330
1,5,241,47,0,48,733
1,18,172,38,0,48,733
4,22,32,47,6,20,66
1,18,172,49,1,43,389
1,18,172,67,6,20,47
3,13,97,32,5,19,62
1,18,172,67,0,49,240
1,18,172,67,3,46,599
1,5,174,68,3,46,599
1,5,241,68,2,33,443
1,17,161,47,6,39,296
1,5,174,1,6,39,687
1,18,172,67,5,19,516
1,18,172,38,1,43,929
4,11,209,27,1,43,547
1,18,172,67,3,36,55
4,22,58,1,1,43,547
4,11,19,1,1,43,929
4,11,138,27,1,43,935
1,17,211,23,3,36,186
4,7,230,1,1,43,935
4,11,138,23,1,43,935
