Season,Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName,CreatedOn
0,HORTICULTURE,11,148,47,2,33,793,2018-12-31T20:54:08.55
0,AGRICULTURE,0,0,67,2,33,793,2018-12-31T20:48:22.753
0,AGRICULTURE,18,172,67,5,19,62,2018-12-31T20:02:26.907
0,AGRICULTURE,5,174,1,6,20,47,2018-12-31T19:54:59.98
0,AGRICULTURE,18,172,67,2,33,839,2018-12-31T19:26:24.73
0,AGRICULTURE,18,172,67,0,49,48,2018-12-31T19:01:28.133
0,AGRICULTURE,18,172,67,2,33,793,2018-12-31T19:01:23.047
0,HORTICULTURE,22,75,1,6,20,231,2018-12-31T18:48:45.187
0,AGRICULTURE,18,172,62,1,4,719,2018-12-31T18:46:14.94
0,AGRICULTURE,18,172,67,3,36,349,2018-12-31T18:27:52.657
0,AGRICULTURE,18,172,67,3,36,651,2018-12-31T18:13:27.34
0,AGRICULTURE,18,172,67,0,49,240,2018-12-31T18:05:36.85
0,AGRICULTURE,18,172,67,2,33,793,2018-12-31T18:03:45.17
0,AGRICULTURE,5,241,23,4,29,433,2018-12-31T18:01:32.473
0,AGRICULTURE,5,241,27,1,43,802,2018-12-31T18:00:23.393
0,AGRICULTURE,18,172,67,6,39,330,2018-12-31T17:59:54.957
0,AGRICULTURE,5,241,58,0,49,240,2018-12-31T17:40:30.613
0,HORTICULTURE,22,191,1,4,29,799,2018-12-31T17:36:56.42
0,AGRICULTURE,18,172,67,2,33,512,2018-12-31T17:30:30.457
0,AGRICULTURE,18,172,67,2,33,512,2018-12-31T17:30:00.737
0,HORTICULTURE,15,5,38,6,39,331,2018-12-31T17:28:07.353
0,AGRICULTURE,18,172,67,5,19,110,2018-12-31T17:26:45.547
0,AGRICULTURE,5,241,23,1,43,547,2018-12-31T17:17:28.54
0,AGRICULTURE,5,241,23,1,43,547,2018-12-31T17:16:01.707
0,AGRICULTURE,5,174,47,3,46,711,2018-12-31T16:53:11.69
0,HORTICULTURE,22,48,1,6,20,728,2018-12-31T16:44:04.573
0,HORTICULTURE,22,0,47,6,20,728,2018-12-31T16:40:49.273
0,HORTICULTURE,11,148,1,6,20,47,2018-12-31T16:39:42.07
0,AGRICULTURE,18,172,38,3,36,651,2018-12-31T16:39:11.243
0,AGRICULTURE,18,172,67,3,36,651,2018-12-31T16:38:52.507
0,HORTICULTURE,22,38,1,6,20,47,2018-12-31T16:31:56.29
0,HORTICULTURE,22,191,55,4,29,823,2018-12-31T16:30:40.083
0,AGRICULTURE,18,172,43,3,36,476,2018-12-31T16:26:20.7
0,AGRICULTURE,5,174,23,6,20,47,2018-12-31T16:20:09.02
0,AGRICULTURE,18,172,23,1,43,547,2018-12-31T16:19:39.943
0,AGRICULTURE,5,174,1,3,46,432,2018-12-31T16:17:50.117
0,AGRICULTURE,5,241,27,1,43,802,2018-12-31T16:17:36.59
0,HORTICULTURE,22,159,62,5,19,62,2018-12-31T16:16:15.05
0,HORTICULTURE,11,148,1,1,43,909,2018-12-31T16:15:58.123
0,AGRICULTURE,18,0,67,5,19,516,2018-12-31T16:09:22.717
0,AGRICULTURE,5,174,1,3,46,924,2018-12-31T15:59:40.22
0,AGRICULTURE,18,172,67,3,36,29,2018-12-31T15:56:44.95
0,AGRICULTURE,17,108,54,1,43,460,2018-12-31T15:51:50.933
0,HORTICULTURE,22,191,1,6,20,696,2018-12-31T15:49:08.813
0,HORTICULTURE,6,76,1,1,43,935,2018-12-31T15:47:31.187
0,AGRICULTURE,18,172,43,2,33,793,2018-12-31T15:37:21.687
0,HORTICULTURE,22,191,1,6,20,732,2018-12-31T15:34:42.75
0,AGRICULTURE,5,241,68,2,33,793,2018-12-31T15:33:23.547
0,HORTICULTURE,22,169,1,1,4,864,2018-12-31T15:32:51.927
0,AGRICULTURE,17,53,23,1,43,94,2018-12-31T15:32:45.84
0,AGRICULTURE,5,241,47,2,33,793,2018-12-31T15:13:22.2
0,AGRICULTURE,18,172,67,4,29,799,2018-12-31T14:55:48.9
0,AGRICULTURE,18,172,43,1,43,802,2018-12-31T14:49:19.3
0,AGRICULTURE,0,0,67,4,29,161,2018-12-31T14:47:44.437
0,HORTICULTURE,22,35,23,0,49,240,2018-12-31T14:47:09.757
0,AGRICULTURE,18,172,38,5,19,62,2018-12-31T14:43:25.113
0,AGRICULTURE,20,27,1,2,33,0,2018-12-31T14:29:44.333
0,AGRICULTURE,18,172,21,3,36,905,2018-12-31T14:28:25.303
0,HORTICULTURE,6,76,1,1,43,802,2018-12-31T14:27:55.49
0,AGRICULTURE,18,172,67,3,36,905,2018-12-31T14:25:55.68
0,HORTICULTURE,22,75,1,6,20,231,2018-12-31T14:14:29.987
0,AGRICULTURE,5,241,27,4,29,570,2018-12-31T14:12:23.83
0,AGRICULTURE,18,172,67,0,49,240,2018-12-31T13:57:30.837
0,ANIMAL HUSBANDRY,2,115,43,0,49,240,2018-12-31T13:55:36.033
0,AGRICULTURE,5,174,1,6,39,296,2018-12-31T13:50:53.67
0,HORTICULTURE,11,189,65,5,19,110,2018-12-31T13:44:51.51
0,AGRICULTURE,18,172,1,2,33,443,2018-12-31T13:37:46.9
0,HORTICULTURE,6,76,1,1,43,900,2018-12-31T13:35:04.097
0,AGRICULTURE,5,241,68,1,43,900,2018-12-31T13:34:01.43
0,HORTICULTURE,6,76,1,1,43,547,2018-12-31T13:33:21.37
0,AGRICULTURE,18,172,67,0,49,240,2018-12-31T13:30:36.007
0,HORTICULTURE,22,38,28,0,49,240,2018-12-31T13:27:45.557
0,AGRICULTURE,5,174,67,6,20,307,2018-12-31T13:24:15.937
0,AGRICULTURE,5,174,1,6,20,47,2018-12-31T13:10:13.04
0,AGRICULTURE,5,174,1,3,36,67,2018-12-31T13:01:01.29
0,AGRICULTURE,5,241,2,4,29,799,2018-12-31T12:56:51.903
0,AGRICULTURE,5,174,1,3,46,135,2018-12-31T12:53:11.377
0,AGRICULTURE,5,174,47,0,48,83,2018-12-31T12:52:05.28
0,HORTICULTURE,22,75,23,6,20,231,2018-12-31T12:42:10.847
0,AGRICULTURE,5,174,27,3,46,645,2018-12-31T12:40:23.203
0,AGRICULTURE,5,20,54,1,4,864,2018-12-31T12:36:12.68
0,AGRICULTURE,5,20,54,1,4,864,2018-12-31T12:36:12.57
0,AGRICULTURE,17,108,47,3,36,635,2018-12-31T12:35:44.55
0,HORTICULTURE,22,191,1,1,43,547,2018-12-31T12:35:25.393
0,HORTICULTURE,22,30,1,0,49,240,2018-12-31T12:33:37.923
0,AGRICULTURE,18,172,57,0,49,240,2018-12-31T12:32:27.113
0,AGRICULTURE,5,20,54,1,4,864,2018-12-31T12:32:23.45
0,AGRICULTURE,5,20,54,1,4,864,2018-12-31T12:32:23.31
0,HORTICULTURE,22,30,55,0,49,21,2018-12-31T12:30:13.03
0,AGRICULTURE,5,241,47,5,19,516,2018-12-31T12:30:02.797
0,AGRICULTURE,16,147,1,6,39,330,2018-12-31T12:26:21.397
0,HORTICULTURE,6,71,23,0,48,83,2018-12-31T12:08:59.16
0,AGRICULTURE,18,172,54,3,36,651,2018-12-31T11:59:54.803
0,HORTICULTURE,11,176,47,2,33,348,2018-12-31T11:43:39.77
0,AGRICULTURE,18,172,21,3,36,310,2018-12-31T11:42:18.79
0,AGRICULTURE,5,241,68,6,39,330,2018-12-31T11:38:44.597
0,AGRICULTURE,18,172,15,1,43,929,2018-12-31T11:30:24.547
0,AGRICULTURE,18,172,67,0,49,240,2018-12-31T11:30:05.67
0,AGRICULTURE,18,172,0,0,48,83,2018-12-31T11:16:08.747
0,AGRICULTURE,5,241,67,0,49,240,2018-12-31T11:14:31.027
0,AGRICULTURE,5,241,67,0,49,240,2018-12-31T11:14:25.91
0,HORTICULTURE,11,57,65,1,43,929,2018-12-31T11:12:30.983
0,AGRICULTURE,20,27,1,2,33,793,2018-12-31T11:05:42.213
0,AGRICULTURE,5,174,1,6,39,75,2018-12-31T11:04:42.857
0,HORTICULTURE,22,191,47,6,20,696,2018-12-31T11:01:47.357
0,AGRICULTURE,18,172,67,0,49,240,2018-12-31T10:58:29.713
0,AGRICULTURE,20,139,1,6,39,331,2018-12-31T10:58:14.397
0,AGRICULTURE,18,172,38,1,43,802,2018-12-31T10:57:52.2
0,AGRICULTURE,18,172,67,2,33,443,2018-12-31T10:56:44.81
0,AGRICULTURE,18,172,23,1,4,41,2018-12-31T10:56:02.137
0,HORTICULTURE,22,135,23,0,49,240,2018-12-31T10:55:55.71
0,AGRICULTURE,20,139,1,6,39,331,2018-12-31T10:52:11.543
0,AGRICULTURE,18,172,21,0,49,240,2018-12-31T10:52:00.517
0,AGRICULTURE,18,172,62,0,49,21,2018-12-31T10:50:40.513
0,AGRICULTURE,18,172,67,2,33,443,2018-12-31T10:45:46.87
0,HORTICULTURE,11,63,47,2,33,512,2018-12-31T10:41:04.023
0,HORTICULTURE,22,191,1,6,20,696,2018-12-31T10:38:04.667
0,HORTICULTURE,22,169,49,1,43,900,2018-12-31T10:25:39.94
0,HORTICULTURE,11,123,23,0,48,798,2018-12-31T10:21:35.237
0,AGRICULTURE,5,174,38,3,46,209,2018-12-31T10:12:50.583
0,AGRICULTURE,18,172,38,1,43,929,2018-12-31T10:01:36.09
0,HORTICULTURE,22,191,1,1,43,802,2018-12-31T09:57:32.6
0,AGRICULTURE,5,174,27,3,36,233,2018-12-31T09:57:15.05
0,AGRICULTURE,18,172,38,4,29,606,2018-12-31T09:55:57.487
0,HORTICULTURE,22,191,47,4,29,823,2018-12-31T09:44:25.927
0,AGRICULTURE,20,27,47,2,33,443,2018-12-31T09:24:40.46
0,AGRICULTURE,20,27,1,2,33,443,2018-12-31T09:16:23
0,AGRICULTURE,5,174,68,3,46,807,2018-12-31T09:07:42.263
0,HORTICULTURE,22,191,1,6,20,169,2018-12-31T09:05:03.047
0,AGRICULTURE,18,172,67,2,33,839,2018-12-31T09:00:15.783
0,AGRICULTURE,5,174,1,3,36,484,2018-12-31T08:39:43.517
0,AGRICULTURE,17,161,1,6,39,75,2018-12-31T08:37:16.563
0,AGRICULTURE,5,174,1,3,36,484,2018-12-31T08:37:14.707
0,AGRICULTURE,5,174,1,3,46,807,2018-12-31T08:27:59.883
0,AGRICULTURE,18,172,67,0,49,240,2018-12-31T07:46:52.933
0,HORTICULTURE,22,38,55,0,49,240,2018-12-30T21:57:17.277
0,AGRICULTURE,18,172,67,0,49,240,2018-12-30T21:56:17.7
0,AGRICULTURE,5,241,63,4,29,799,2018-12-30T21:42:54.41
0,AGRICULTURE,18,172,67,0,49,240,2018-12-30T21:42:41.26
0,AGRICULTURE,18,172,67,0,49,240,2018-12-30T21:37:48.817
0,HORTICULTURE,22,169,55,0,49,240,2018-12-30T21:32:39.667
0,HORTICULTURE,11,176,23,5,19,516,2018-12-30T21:05:18.36
0,HORTICULTURE,6,76,27,1,43,94,2018-12-30T20:11:07.2
0,HORTICULTURE,22,191,55,6,39,331,2018-12-30T19:50:05.28
0,AGRICULTURE,16,147,1,6,39,330,2018-12-30T19:48:06.03
0,AGRICULTURE,5,241,47,0,48,733,2018-12-30T19:35:05.72
0,AGRICULTURE,18,172,38,0,48,733,2018-12-30T19:26:53.097
